task,encoding,combo,C1,C2,C3,C4,C5,C6,CSR_obj,CSR_normal,CSR_counter,status,notes
MC-FE-01,H,RRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,"C2: styles.xxx from JS object, not real CSS Modules import"
MC-FE-01,H,CRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,"C2: styles.xxx from JS object, not real CSS Modules import"
MC-FE-01,H,SRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,"C2: styles.xxx from JS object, not real CSS Modules import"
MC-FE-01,H,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-01,H,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-01,H,RRC,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,"C2: styles.xxx from JS object, not real CSS Modules import"
MC-FE-01,H,RRS,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,"C2: styles.xxx from JS object, not real CSS Modules import"
MC-FE-01,NLc,RRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,"C2: styles.xxx from JS object, not real CSS Modules import"
MC-FE-01,NLc,CRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,"C2: styles.xxx from JS object, not real CSS Modules import"
MC-FE-01,NLc,SRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no CSS Modules usage detected
MC-FE-01,NLc,RCR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-01,NLc,RSR,1,1,1,1,1,1,1.000,1.000,1.000,SCORED,
MC-FE-01,NLc,RRC,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no CSS Modules usage detected
MC-FE-01,NLc,RRS,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,"C2: styles.xxx from JS object, not real CSS Modules import"
MC-FE-01,NLf,RRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no CSS Modules usage detected
MC-FE-01,NLf,CRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,"C2: styles.xxx from JS object, not real CSS Modules import"
MC-FE-01,NLf,SRR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no CSS Modules usage detected
MC-FE-01,NLf,RCR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no CSS Modules usage detected
MC-FE-01,NLf,RSR,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no CSS Modules usage detected
MC-FE-01,NLf,RRC,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no CSS Modules usage detected
MC-FE-01,NLf,RRS,1,0,1,1,1,1,0.833,1.000,0.500,SCORED,C2: no CSS Modules usage detected
MC-FE-02,H,RRR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,"C3: heavy inline styles, not CSS Modules; C6: inline data assumed"
MC-FE-02,H,CRR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: no CSS Modules usage detected; C6: inline data assumed
MC-FE-02,H,SRR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,"C3: heavy inline styles, not CSS Modules; C6: inline data assumed"
MC-FE-02,H,RCR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: Tailwind classes detected
MC-FE-02,H,RSR,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,"C3: heavy inline styles, not CSS Modules; C6: inline data assumed"
MC-FE-02,H,RRC,1,1,0,1,1,1,0.833,1.000,0.500,SCORED,C3: Tailwind classes detected; C6: inline data assumed
