task,encoding,combo,s1_model,C1_M,C1_R,C2_M,C2_R,C3_M,C3_R,C4_M,C4_R,C5_M,C5_R,C6_M,C6_R,mention_rate,nat_rate,status
MC-FE-01,H,RRR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,H,CRR,kimi,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,H,SRR,deepseek,1,Str,1,Str,1,Str,1,Str,1,Str,1,Str,1.000,0.000,SCORED
MC-FE-01,H,RCR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,H,RSR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,H,RRC,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,H,RRS,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLc,RRR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLc,CRR,kimi,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLc,SRR,deepseek,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLc,RCR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLc,RSR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLc,RRC,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLc,RRS,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLf,RRR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLf,CRR,kimi,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLf,SRR,deepseek,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLf,RCR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLf,RSR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLf,RRC,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-FE-01,NLf,RRS,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
